what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1354638863779
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1354638863805
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1354638863847
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1354638863873
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1354638863873
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1354638863939
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1354638863957
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1354638863999
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1354638864016
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1354638864363
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1354638864996
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1354638865029
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1354638865043
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1354638865081
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1354638865097
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1354638865113
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1354638865140
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1354638865150
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1354638865150
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1354638865171
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1354638865203
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1354638865219
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1354638865242
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1354638865250
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1354638865306
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1354638865307
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1354638865345
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1354638865386
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1354638865395
os,sysinfo,,,"win32",1354638865401
arch,sysinfo,,,"x86_64",1354638865401
ws,sysinfo,,,"win32",1354638865401
locale,sysinfo,,,"en_US",1354638865401
processors,sysinfo,,,"2",1354638865401
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1354638865401
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1354638865401
java.specification.name,sysinfo,,,"Java Platform API Specification",1354638865401
java.specification.vendor,sysinfo,,,"Oracle Corporation",1354638865401
java.specification.version,sysinfo,,,"1.7",1354638865401
java.vendor,sysinfo,,,"Oracle Corporation",1354638865401
java.version,sysinfo,,,"1.7.0_04",1354638865401
java.vm.info,sysinfo,,,"mixed mode",1354638865401
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1354638865401
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1354638865401
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1354638865401
java.vm.specification.version,sysinfo,,,"1.7",1354638865401
java.vm.vendor,sysinfo,,,"Oracle Corporation",1354638865401
java.vm.version,sysinfo,,,"23.0-b21",1354638865401
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1354638865438
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1354638866025
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1354638866413
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354638899924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354638902339
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354638908818
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639155068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639160061
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639160231
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639160701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639166053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639166574
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639326728
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639329568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639789437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639795804
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639806452
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1354639807862
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354639813537
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642760617
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642760679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642761756
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642765730
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642765813
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1354642770895
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642771095
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642771135
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642775826
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1354642780111
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1354642780735
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642782182
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1354642783663
started,bundle,org.eclipse.jdt.debug,3.7.0.v20110509,"org.eclipse.jdt.debug",1354642784896
started,bundle,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui",1354642786236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642804395
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1354642804442
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642804867
started,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1354642807577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642808820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642809397
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354642809636
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1354642809656
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642817775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642819990
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642820131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642821207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1354642851315
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1354642855302
